"country","year","sum_emissions"
"AGO",2015,21179220.6202
"AGO",2016,20250271.744400002
"AGO",2017,18596862.7638
"AGO",2018,16108412.905199999
"AGO",2019,13994303.694199998
"AGO",2020,12938668.000600003
"AGO",2021,12502401.804999994
"ALB",2015,633809.2449666001
"ALB",2016,592694.169816
"ALB",2017,498024.770664
"ALB",2018,457199.260704
"ALB",2019,498552.089904
"ALB",2020,381936.54722
"ALB",2021,396583.028886
"ARE",2015,83082083.7254
"ARE",2016,86369570.4046
"ARE",2017,80546567.63659999
"ARE",2018,81055142.33460002
"ARE",2019,82160877.19219999
"ARE",2020,70171385.097
"ARE",2021,72277786.0456
"ARG",2015,19896126.595799997
"ARG",2016,22408491.042600006
"ARG",2017,24038956.8326
"ARG",2018,29916121.7416
"ARG",2019,35506494.5212
"ARG",2020,33334389.807000004
"ARG",2021,36078526.43102001
"AUS",2015,23930056.59306
"AUS",2016,32260079.98967
"AUS",2017,47457343.896979995
"AUS",2018,58947063.412384
"AUS",2019,65508778.466819994
"AUS",2020,63716884.908826016
"AUS",2021,58564394.257406004
"AZE",2015,23142292.038000003
"AZE",2016,23680561.99
"AZE",2017,22532438.42
"AZE",2018,23882071.196
"AZE",2019,27256033.206
"AZE",2020,26476939.702
"AZE",2021,29614584.718000002
"BEL",2019,609.8850256
"BEL",2021,5185.009284
"BEN",2015,15068.348356
"BEN",2016,16529.591908
"BEN",2017,16290.328616
"BEN",2018,15789.872946
"BEN",2019,15591.352776
"BEN",2020,14160.336276
"BGD",2015,4162689.0747999996
"BGD",2016,4171924.2825999996
"BGD",2017,4519194.0074000005
"BGD",2018,4483977.527799999
"BGD",2019,4295056.487400001
"BGD",2020,4061020.0162
"BGD",2021,3925708.3455999997
"BGR",2015,66634.0856
"BGR",2016,48365.256002
"BGR",2017,23953.411829999997
"BGR",2018,11019.0681
"BGR",2019,10376.332436
"BGR",2020,9917.795436
"BGR",2021,9272.480112
"BHR",2015,7722900.202
"BHR",2016,7529386.586
"BHR",2017,7474882.686800001
"BHR",2018,7473789.9396
"BHR",2019,8300396.3736
"BHR",2020,8669226.866
"BHR",2021,8312846.932
"BLZ",2015,31677.17406
"BLZ",2016,27074.59546
"BLZ",2017,21348.9492
"BLZ",2018,17834.017176
"BLZ",2019,15672.980644
"BLZ",2020,15946.841696
"BLZ",2021,28840.51982
"BOL",2015,9150505.131199999
"BOL",2016,9062925.3346
"BOL",2017,9206346.9966
"BOL",2018,8320909.125399999
"BOL",2019,7775394.9702
"BOL",2020,7575448.909400001
"BOL",2021,7352324.0918000005
"BRA",2015,40895192.565
"BRA",2016,48385130.63520001
"BRA",2017,62335989.07219999
"BRA",2018,70571476.50320001
"BRA",2019,82454070.9406
"BRA",2020,84095490.55919999
"BRA",2021,78348533.07620002
"BRB",2015,13102.938586
"BRB",2016,12519.867098
"BRB",2017,12133.779097999999
"BRB",2018,13289.755362
"BRB",2019,18724.96568
"BRB",2020,20504.224522
"BRB",2021,17853.732152
"CAN",2015,232797776.53719997
"CAN",2016,248487488.786
"CAN",2017,267992700.6598
"CAN",2018,299123698.14460003
"CAN",2019,308224399.8389999
"CAN",2020,309848450.6192
"CAN",2021,332700547.40479994
"CHL",2015,570782.7396
"CHL",2016,651477.72696
"CHL",2017,572771.42578
"CHL",2018,577664.23078
"CHL",2019,557045.18952
"CHL",2020,542045.0720599999
"CHL",2021,611776.1222
"CHN",2015,214783454.80439994
"CHN",2016,212676995.72553998
"CHN",2017,219093717.17412
"CHN",2018,224939570.48942006
"CHN",2019,243714687.73258
"CHN",2020,258784185.20575997
"CHN",2021,263192281.22298
"CIV",2015,633359.8865399999
